RA,DEC,SEP,VEL_DISP,z
319.482623094798,0.284248986471742,2.9161154167459683e-05,196.73671,0.4792032
319.586928673776,0.247127685741983,5.083304506380616e-05,255.83902,0.46201068
319.572161672965,0.158086771178001,4.130018101371221e-05,211.84772,0.34386107
319.585002602832,0.128708655481084,4.3433540496211944e-05,241.31148,0.5068311
319.593021723838,0.560689523402933,4.3307721414959804e-05,193.02615,0.35042793
319.619455534466,0.86537626788548,4.9499676346291684e-05,241.2992,0.5149579
319.600619476007,0.800573892880465,4.898793381385967e-05,183.58846,0.45014775
319.664845215939,1.06483483281637,4.6149775131285216e-05,271.99918,0.3968171
319.734000431381,0.304509700948096,4.116320848197756e-05,235.62143,0.2777429
319.687601702897,0.542636623481271,3.0877003517373766e-05,201.95811,0.27765247
319.686751265073,0.137119715092268,3.4768115235292876e-05,189.68993,0.52277607
319.827844296465,1.21494371015484,2.1444764389493037e-05,200.4096,0.3862778
319.799754096318,0.998870818301039,4.220313937800134e-05,310.59515,0.3643583
319.775311668508,0.688665982934653,4.735233532720251e-05,272.27658,0.45801258
319.792019009562,0.696992946742935,2.191912802494573e-05,228.50383,0.3165239
321.412812093687,-0.74474732276595,2.9272192619614605e-05,272.94373,0.4747925
321.28601709237,-0.564505478193004,8.496854973193214e-05,333.8026,0.6960557
321.420588628119,-0.306990790005445,1.3406188346912074e-05,247.70995,0.5511265
321.376196431525,-1.12709499518802,7.059826553170134e-05,245.8008,0.48248538
321.278540863323,-0.840822497642395,5.569904722350337e-05,234.40038,0.47334814
321.229758057256,-0.998665800481727,5.462257448439332e-05,230.1514,0.2545118
321.165829155465,-1.11625186747898,4.234094123406748e-05,250.22935,0.2890455
321.195240372404,-0.843338867594071,5.2904480725987955e-05,217.65512,0.56928486
321.116064009205,-0.164041359692172,1.0219558682130408e-05,229.79515,0.45912868
321.172439049114,-0.0706201012718186,2.672440802819644e-05,269.3156,0.5288741
323.831092711763,1.1787619194543,5.889488183814582e-05,285.02658,0.5975193
324.162638658903,0.861337212966569,5.035754385737611e-05,388.4891,0.4840063
320.625370009759,1.0394912741435,4.6399591728345035e-05,249.37082,0.5190193
320.665692583089,0.363858104060044,4.5946622636154525e-05,249.37317,0.52299476
320.780544645158,0.497424188763335,3.794414741081539e-05,228.66376,0.23565795
320.59525955859,0.498196868655169,4.24709488941901e-05,219.96008,0.46423423
320.841955617789,0.227724756158713,2.0343739376643185e-05,226.73973,0.45575136
320.743213269476,0.0575732336064991,3.9291562424476634e-05,149.45097,0.5255437
320.833463584176,0.548786202145439,6.419227559300153e-05,215.96794,0.5092701
321.034955733838,0.418717505823277,1.8386407895089317e-05,206.03198,0.5311954
322.342357316056,-0.95719498821349,5.109427914212316e-05,255.02122,0.52991736
322.279557225463,-1.07765975648164,3.51530617111645e-05,297.25098,0.60259587
322.177244189943,-0.818866388169641,3.857147163476058e-05,153.74387,0.57642674
322.551581888808,-0.761614948855201,4.050497710917573e-05,180.71051,0.5618373
322.39076298366,-1.02317791551053,6.148599988450616e-05,206.11072,0.53028166
322.235911327277,-1.09531508999909,4.3066917059093456e-05,235.21379,0.2278607
322.22194120673,-1.04160472069207,3.829831760801495e-05,229.14198,0.50445235
322.827874318566,-0.156813195969132,6.51248289462661e-05,289.9739,0.6101482
322.813350907626,-0.214216597934939,1.5358905964561588e-05,173.35585,0.559267
322.80653159258,-0.293264300349638,2.467301453806523e-05,283.64893,0.56174606
322.112538880241,-1.08931721253018,4.115656580492574e-05,288.6434,0.55507636
322.373810452204,-0.552238197520679,2.289708128751285e-05,327.64072,0.7191881
322.234310455343,-0.256795500139534,3.053965703252931e-05,265.74243,0.5294061
322.286754268119,-0.488215035210594,3.402109132192262e-05,297.06055,0.47544813
321.740787502039,-0.855901064140427,4.238491442026747e-05,198.95518,0.48121446
321.888332633223,-1.13065038862567,2.7039845263609228e-05,240.75377,0.50716054
321.862129923636,-1.18706931594464,2.725411073241268e-05,240.08835,0.5350665
326.071315497206,1.13336502012259,3.484515253126889e-05,210.4121,0.49266875
326.074643369875,1.16732456558833,9.761453276577155e-06,223.97757,0.37311843
326.054527349393,1.17141249681774,3.758516535804313e-05,288.48236,0.55178475
326.006382000128,0.99845575636988,1.899279703564471e-05,250.17204,0.49583718
326.102074103928,0.963088756051331,2.804271232977531e-05,167.76158,0.48845565
326.194353157983,0.46817038937785,1.7732436778381847e-05,233.12097,0.49452102
326.198117117859,0.867721948151652,4.326396316922878e-05,305.1237,0.7030156
326.222929015718,0.881233394251889,2.4646645270715344e-05,117.6402,0.3232977
