COADD_OBJECT_ID,RA,DEC,SOF_CM_G_1,SOF_CM_G_2,Z,VEL_DISP,ID
80519045,336.77296800,2.21854700,-0.17343642,-0.46745391,0.47923768,203.63663000,80519045
247431182,330.90396500,0.27972400,-0.00040513,0.18740696,0.54558180,193.38412000,247431182
176695539,0.07101500,-0.96746900,0.00408822,-0.11148349,0.57281446,259.83072000,176695539
118964551,36.75980200,-7.83892000,-0.03085105,-0.07617148,0.48068160,225.90590000,118964551
200273782,321.97943200,1.02289200,0.01888219,-0.10997151,0.29923996,211.77094000,200273782
205794076,323.71876800,-1.20597700,-0.04065906,0.08310155,0.27635000,164.21964000,205794076
208837377,8.10035500,1.02531900,-0.01774794,0.11041771,0.53194350,240.12050000,208837377
262062385,28.72993600,0.58757400,0.07459364,0.19422028,0.49279284,241.82184000,262062385
202856575,323.06428900,-0.99911900,0.09505367,-0.11660873,0.46273622,186.50285000,202856575
74343865,333.43577000,-0.49968100,0.06379222,-0.15991712,0.58988660,358.31107000,74343865
248208822,330.87484500,-0.45662500,0.10461255,-0.11566290,0.58229357,223.72281000,248208822
84713830,337.56250900,-1.07813600,0.03994741,0.06376964,0.32950982,239.67352000,84713830
351101719,20.08858100,-0.32633200,0.08166676,-0.02286287,0.35166693,147.76688000,351101719
430195334,19.81653300,-0.82437800,-0.05153553,-0.04095965,0.48528440,210.09988000,430195334
227528974,22.87221900,0.04368300,-0.06824509,-0.02187201,0.38366180,192.87070000,227528974
84696397,338.02273700,0.62317400,0.17573609,0.14791086,0.25906125,226.87753000,84696397
135144816,352.99252900,0.53469400,0.03086347,0.06728110,0.47135976,210.93048000,135144816
136706403,354.43656200,-0.85186500,0.33348907,0.15830985,0.58244747,346.22630000,136706403
261004544,28.47526600,1.96078100,0.03951871,0.03728339,0.25553960,233.05992000,261004544
252736951,26.59291800,4.76693800,0.03563202,-0.12492135,0.52268920,206.18706000,252736951
332918824,44.54846600,-1.67347000,-0.01392684,0.06967351,0.69175540,309.65726000,332918824
319119082,41.20915300,-1.54666100,-0.13334449,-0.12880870,0.26306130,235.85628000,319119082
199658399,322.36747300,-1.21490400,0.21748516,0.25685919,0.48949423,254.40668000,199658399
118328339,36.79588600,-8.96672500,0.01377647,0.03982016,0.62915033,290.31326000,118328339
137594221,354.80117600,-1.56099900,-0.03688814,0.03507464,0.29513140,201.15022000,137594221
201399163,322.28995700,-0.47956100,-0.31295056,0.16333927,0.47380713,243.96106000,201399163
200284049,321.92084100,0.87787400,-0.02485879,0.08174486,0.30453074,222.18158000,200284049
201611664,5.58351600,-2.10077700,-0.10348257,-0.08447829,0.31186974,248.51851000,201611664
75583382,333.50914100,1.07472900,-0.00752987,0.01884181,0.28065872,223.93456000,75583382
75091046,334.08934700,0.37305700,-0.04865544,-0.09416993,0.46380892,222.02455000,75091046
201806374,322.69765000,0.43938200,0.29869398,0.10916880,0.44295856,236.78952000,201806374
155237868,9.01397300,-2.96604700,-0.05479410,-0.13584895,0.33343860,258.45624000,155237868
92044637,33.92549500,-9.29269900,-0.04213662,0.16094345,0.58609720,218.90427000,92044637
312940319,39.64908400,-5.97586400,-0.02067287,0.07590334,0.27475005,272.85242000,312940319
157832919,10.35285600,-3.10822400,0.23031958,-0.19182435,0.34224638,212.13568000,157832919
212451991,326.13045200,-1.43871100,0.02044445,0.00573480,0.41613004,203.98372000,212451991
91952416,33.96813000,-7.35033000,0.04550426,-0.14171816,0.46233276,188.68102000,91952416
144764626,6.12202700,-3.41141000,0.14614105,-0.37873654,0.35904680,221.43642000,144764626
237950017,327.55040100,0.06797500,-0.00709353,0.04881862,0.50646967,255.60687000,237950017
221472340,21.72480000,1.89234000,0.02172100,0.17680119,0.30354616,293.10960000,221472340
233748038,24.38201100,1.98611900,-0.06501719,-0.05798914,0.15012407,237.91193000,233748038
321547006,42.16759900,1.86962300,0.07974116,0.05607925,0.45782620,191.25685000,321547006
134093683,352.51477800,-0.58134300,-0.03970831,-0.12385397,0.41815220,162.13406000,134093683
109725162,345.51054700,-0.44226700,0.03480984,0.02294983,0.37207645,210.15662000,109725162
66946746,30.89230800,-4.80470300,-0.03919223,-0.23343119,0.35185456,170.58247000,66946746
77944469,31.93229100,-6.47754600,0.06708628,-0.20181678,0.49680170,192.21942000,77944469
125081570,37.76785600,-8.43863200,-0.02431112,-0.06207906,0.29074454,231.33780000,125081570
66207426,30.76437300,-6.41702300,-0.00410587,0.01320582,0.33424267,204.44756000,66207426
67360818,30.96162100,5.01102500,-0.02693611,0.02543207,0.49175850,213.54510000,67360818
236323847,327.81908900,-2.17416200,-0.03442867,-0.02636964,0.46866068,223.90335000,236323847
202956107,5.34267000,-0.41232700,0.11736288,0.10346727,0.55031920,192.00189000,202956107
246551200,329.82789300,-0.35129700,-0.05546907,-0.04395288,0.30868918,209.43324000,246551200
218256207,329.12536200,-0.22265400,0.13099159,0.02055815,0.58275010,373.78256000,218256207
246517366,330.24266600,-1.20245900,0.15772241,-0.00160352,0.56565577,248.69333000,246517366
283105753,2.12841100,1.95795600,-0.14821817,0.10675461,0.33332795,242.54950000,283105753
84739750,338.12042200,-1.35954800,0.03835571,0.06954518,0.44746345,242.55905000,84739750
294845731,17.34732700,-0.92381000,0.02998344,0.01780737,0.56865700,171.26018000,294845731
206331316,323.51088000,0.63365600,0.02971672,-0.00906293,0.44881144,209.81715000,206331316
66265431,30.67954000,-5.41888700,-0.01361557,-0.14045801,0.51508063,244.68597000,66265431
83591098,336.23856300,-0.82606900,0.26664836,-0.04196514,0.36154804,228.65111000,83591098
81740947,336.15117700,-0.36424600,0.18647571,0.05546880,0.54599726,222.77010000,81740947
77653400,31.85490400,-5.87909900,-0.18369207,0.07090244,0.29839790,191.94138000,77653400
319966862,41.60000900,4.73978000,0.01600640,-0.03470120,0.21085757,228.28691000,319966862
208153620,324.35608200,0.97838400,-0.08054622,0.02839954,0.28685492,224.67982000,208153620
82764285,336.60118800,1.00312500,-0.00932458,-0.00064102,0.33958185,180.14845000,82764285
95324908,34.22735400,-1.14474900,-0.01737769,0.12321797,0.37432600,162.48488000,95324908
319488899,41.73015700,1.57043300,0.06081960,-0.17912218,0.19108638,269.93347000,319488899
88275497,338.30664300,-0.50791300,-0.04185170,-0.15488289,0.41142803,223.11267000,88275497
85933736,338.00954800,-0.72926000,0.10874491,-0.05211189,0.53135980,198.23578000,85933736
319153143,41.12181000,-0.51670500,0.07796147,-0.06563966,0.58027420,277.64590000,319153143
212438493,326.12726500,-1.23817000,0.17185206,-0.40822624,0.57987106,202.31046000,212438493
218474404,21.67879700,5.15567300,0.26016140,-0.14239501,0.51420130,268.66284000,218474404
329094585,43.73994100,1.83640400,0.05483916,-0.09297711,0.40445802,201.57384000,329094585
95653706,340.52647800,0.62471500,-0.12965664,0.24688982,0.36158260,191.31264000,95653706
237936264,327.92728600,0.32466700,0.13967713,0.05427486,0.51743850,215.84020000,237936264
617738913,359.30829500,1.96658000,0.17724476,-0.01147191,0.62382907,289.95776000,617738913
215111816,327.06619500,-0.61045700,-0.15128056,-0.07599186,0.50215550,172.73308000,215111816
137953093,354.85474200,1.91870300,0.02872846,0.08934915,0.46873695,265.89005000,137953093
253254252,27.38131500,2.39401100,0.00653935,0.09820282,0.21747390,238.24525000,253254252
181533146,317.29101400,-0.69562800,-0.02286665,0.08631297,0.54888620,159.56227000,181533146
131081624,351.33228100,1.43691600,-0.23914108,-0.17071814,0.43579224,227.97647000,131081624
256491550,26.92966300,-1.80428500,0.12987274,0.09001640,0.30771184,194.73439000,256491550
242375771,328.57997900,-0.38530200,-0.08684230,-0.04289750,0.49685460,230.38289000,242375771
179370129,2.62348600,2.62600800,-0.12042833,0.12373864,0.58046854,234.11720000,179370129
128748140,37.72275300,3.08382900,0.14011856,-0.13839934,0.50522240,171.36002000,128748140
107691464,344.61097400,0.98677300,-0.03888376,-0.00796056,0.52078575,184.68263000,107691464
104851127,343.33897800,0.45910100,0.01549394,0.13338476,0.39209417,183.44066000,104851127
107218617,344.69723400,0.27205100,0.02369549,-0.13302810,0.61519885,215.63005000,107218617
215108540,326.76858600,-0.56247300,-0.11826052,-0.25140325,0.50889385,250.91880000,215108540
215687085,327.43857600,-0.08139000,0.11144684,-0.13826634,0.67983330,199.49707000,215687085
106056608,345.88428900,2.36906700,0.09459616,-0.27971310,0.65185280,272.56780000,106056608
242413088,328.40482800,-0.99007300,-0.09519594,-0.00566495,0.62104450,272.73820000,242413088
214981167,327.03356700,1.76293500,0.01812607,0.06389827,0.49354595,227.69410000,214981167
245702066,328.56361600,0.38549700,0.01424475,0.20741202,0.48340590,266.37433000,245702066
122973397,347.59611300,0.59662300,0.04285345,-0.00332195,0.25828330,149.14148000,122973397
75283976,334.25310200,-0.61639100,0.01108015,-0.09672174,0.45463344,172.78746000,75283976
325723079,43.39036700,3.26372000,-0.01801798,-0.05268141,0.51348740,182.97697000,325723079
