RA,DEC
41.8719174923209,-1.54060797038931
41.7821939516558,-1.53171477034278
41.7931401420242,-1.64760976006239
41.8484190902584,-1.92027060384248
41.9493359241321,-1.75172104380053
41.8502347328526,-1.95138686806934
10.5618445241002,0.569196261751456
10.6041196597371,0.98247449361556
10.5656459342976,0.886460134326959
10.6393475470172,0.154784414471783
10.8381599983179,0.99671171408157
10.7338643803444,0.726590034670871
10.7558108852948,0.584284297742185
12.0585109823444,0.186019073097575
12.2978035718828,0.193088709512439
318.044105920964,-0.381302649720252
43.9975382691672,-2.91206926148042
43.9502917603147,-2.90748950118523
43.9040281216328,-2.68173761540625
43.8738953482093,-2.56403170954835
43.861633264451,-2.39498362975495
43.6762343478972,-3.19673174863878
43.6756807925434,-3.04924150336354
43.6993191761457,-3.03730074881062
43.8171662205611,-3.09260974861656
43.8153056366166,-2.92680920175924
43.7857499937673,-2.90722771404103
43.6906706600456,-2.86526881040747
43.6810471008021,-2.64482658789939
43.7397289245858,-2.66561837909412
43.6982649349811,-2.84502849084639
43.8289471048047,-2.59597011217951
43.7356499442289,-2.57244417036574
43.672051637982,-2.61775771577049
43.7482789085929,-2.33780158402214
43.5726608350195,-3.27229291944828
43.6011929300591,-3.42035607417155
43.4954774744829,-3.28326693961063
43.4820554604209,-3.15921538557622
43.5515821535343,-3.04335473098511
43.5294772160395,-3.3144956340736
43.5895326491872,-2.58469078239883
43.636094572852,-2.63234782742282
43.316883011961,-3.23882496860645
43.3995176923934,-3.1447771659529
43.3899468507055,-3.24319104487045
12.7508077530949,-1.05549404718496
12.90333796094,-0.134694511438776
12.8418460098615,-0.444426715412312
12.6093631289925,-1.19413294735625
12.8180257891686,-0.188098617666398
12.8484111265245,-0.321393808265539
12.5683458052562,-1.17607766795412
12.7039976687519,-0.791242920059497
12.7544307388304,-0.791927920423496
11.1177779894286,-0.105645905588786
10.5359089653916,-0.180313766617796
323.631531857137,2.01143704939805
323.589081058816,1.75681552184106
323.759939548655,1.55393973791218
323.67835579024,1.59527915612639
323.697519256388,1.59364434994118
323.743022757553,2.3240991069451
323.788425796351,2.36056618434721
323.802022739476,2.10818030991086
323.774591841923,2.15707748376861
323.847046310142,1.73840794739711
323.810195722987,1.40631903483361
10.6214353489023,-0.197267444037111
335.10577786538,2.20864448024542
335.152227179345,2.19642050487845
335.349515608057,2.51154371767047
335.235882548938,2.29352227225929
335.269294841494,2.17092433738563
335.542384390454,2.37082962618639
335.54073568602,2.44610771713088
320.033174165265,1.04519064970049
319.982146287194,0.53470093036675
319.961257455455,0.514812382827679
320.029937013305,0.201570630320061
320.203271244248,1.13645892653824
320.230063622853,0.89030163301097
320.281663773252,0.747816329296072
320.196577740073,0.156944574621979
320.202929562652,0.116707066610003
320.207283870354,0.0725256699203828
320.354121402071,0.194464630269928
320.355743371469,0.12234112178035
320.406388352036,1.09099401870988
320.549682364315,0.715331891232055
320.469650816859,0.300817835294762
320.587614887215,0.47013394378638
320.535581055157,0.294029574196817
320.577968873969,0.234771982560266
320.544531379793,1.04232598000345
38.0646361825651,-0.0213336711549228
37.82526867408,-0.847592238264409
12.6345359414333,0.0479540562855404
12.3883074478718,-0.89742058427082
339.570530287516,1.51320791810595
339.717549872704,2.10286462403329
339.065926805226,1.29723251127056
339.392061232628,1.73523036137791
339.31382184547,1.75618847020828
339.224253261905,1.86916484435754
339.354278676654,2.17055275514081
338.895653317456,1.62450693215797
10.24711254866,-0.856825693547928
10.0087104491618,-0.833934139400379
9.92021623407443,-0.473237885461182
9.73287481200918,-0.474084359302576
38.1743609416514,-0.0954463138094084
317.606884168297,0.986323846462895
317.670485704495,0.910602506008841
30.5714502604125,1.04977679745847
30.7051467466891,0.793930289133121
30.5209417640333,0.893432429860863
31.041525361658,0.195588461191704
31.0679573084154,1.12768645560845
12.3338451119193,0.287654816140846
12.496585693579,1.03477735310398
12.6599728104422,0.813396981839979
12.7041787868692,0.555398132413185
334.210976846166,2.18631907893558
334.149019335691,2.19475982769885
334.260611116954,2.23115953770128
334.52741420359,2.25458762562608
334.627119015548,2.16298414657742
317.666088311362,0.670375311828005
317.650847569563,0.967595735968557
317.644911464708,0.638717392963758
317.672412782486,0.486295485213158
317.776929433102,0.698136390579697
317.726317220738,0.910267019366944
317.76335313995,0.676174978180641
317.78059955936,0.346414439262241
317.778963126724,0.264579094052231
317.868069401263,0.416367275260901
317.903781257508,0.34864161896983
317.984438100525,0.251301634992542
318.005013468649,0.549132191997106
317.935815246533,0.140261502558707
318.070201709881,0.955417758523043
318.055884139969,0.850907680870065
333.757512826357,1.998133963525
333.705897004989,2.09503636920435
333.578785632723,1.17527893955749
333.677809283053,1.49626720580425
333.663451696121,1.266620323678
333.630541841855,1.48238396604068
333.548175065312,1.68265436697596
333.485709735682,1.90498501173308
333.564091226311,2.08942797176797
333.692086365028,1.76466680547889
333.490553379702,0.963337693277166
333.463565306406,1.4923570943923
333.516419880127,1.08230166503615
333.392821495764,1.54685953867007
333.431854618672,1.4517632702821
333.539406710315,1.39291518218883
333.418578941832,1.87290692902621
333.344985999737,1.64569359827565
333.386569680011,1.56712225344138
333.329359827192,2.06793083739329
333.294948210779,1.2613995999939
333.267947706467,1.08445860024433
333.321480356898,1.2867778431262
333.284848040266,1.42625741090964
333.171371229864,1.38710194319654
333.277978860711,1.9651981849511
333.284917747969,1.88153274774856
333.192054590902,1.77979830031115
333.186306424255,1.67483120846922
337.952854938159,2.34390704324839
337.994587267447,2.23671291758589
37.2573507433981,-0.924415927209806
37.4660378682561,-1.05443721757593
37.3933624978772,-0.628714668327561
9.31733702700931,0.828970385758005
9.48143402342188,0.659092069390652
37.7416251117592,-1.00289087517839
37.7866036786354,-0.662694995773011
37.7814954153533,-0.577504938024766
37.7629049082578,-0.524247768718679
37.8353730945659,-0.19013863460482
319.27667418055,0.436431993040956
319.17782846352,0.295587218899787
321.048260547119,-0.356212284746006
321.112345466344,-0.260405815755203
321.135925436934,-0.20272346674934
321.117268768387,-0.186203046351124
321.055327392582,-0.248453213521563
321.153721371546,-0.0105812508186206
320.795531665588,-0.390333101010829
320.885138221961,-0.573316367540949
321.02418876582,-0.160571179077947
320.764897482221,-0.0197718064731003
320.842524259048,0.0239427601979024
319.394605008545,1.56300687732709
319.549004177999,1.51381077768384
319.620177265572,2.21473377026608
319.526767926799,1.9308293028181
41.6560628297387,-2.56344910342689
41.7014655080334,-3.12535109390785
41.7576256467045,-3.08970744144084
41.638795554816,-2.99983990738562
41.5699328921104,-2.8462573432791
41.5772170619463,-2.9745896935888
31.1586971111849,0.644140614159568
31.1525575234074,0.408379377944528
31.2274491352676,0.287274368514435
31.2042301415567,1.24900853436841
7.87310706626445,1.03554808242013
7.88090217107175,0.687806287896389
7.98377322423271,1.07576437566298
7.92990656702575,1.11007504691778
8.00126700707003,0.843151282047891
7.94576150201787,0.77151134305142
7.95668050978498,0.439477962046206
339.020538817489,2.50213610419065
41.4792045558868,-3.46033812534158
41.547584574102,-3.25597105809271
41.5086178025444,-2.81096606785136
41.4658984857978,-2.64928642869763
41.4628290075192,-2.7808887313822
41.4088425645078,-2.80764891636045
36.8533792554616,-0.401951246866771
36.9921447825296,-0.301253195344856
8.37181669979643,0.546348347172103
8.34724941057043,0.0677742535559843
337.676002937808,1.72356197302008
337.671494840908,1.67572269531664
337.800145452854,1.87273134820559
337.518525996544,1.7762830293336
337.595942484622,1.91206340034107
337.49812175102,1.28755330127412
337.307669641336,1.76938976631083
337.135193001713,1.70641645684565
337.271853159289,2.04331340699492
337.266288704997,2.08355326779698
337.036599868273,1.84713242501183
329.78123736765,1.25342961220755
31.8958959355285,-1.08465311490215
31.8184683404322,-0.348504028727501
31.5710821831788,-1.02766048949973
31.4407951430918,-0.922217154005184
31.3888089538637,-0.381232296184465
31.4783962946635,-0.649794579838778
31.3986796006236,-0.610747057142498
328.900423566043,1.29802703770762
328.311695563931,1.50386312422837
328.382011017012,1.67617795532678
328.821344406983,1.75937646109227
328.755692504862,1.69201642417651
328.688670639538,1.63545133153316
328.968811964787,1.85605226520177
328.983389234509,1.88616080568165
328.945556892115,1.69097155284093
328.933183923965,1.47419561587641
328.895226175932,1.33004795832409
338.485419605957,1.55419134806929
338.247265572651,1.78825010476891
39.5897577406731,-3.19552687519196
